"Year","Variable","Value"
1991,"All livestock and Products","124,185"
1991,"Livestock and Products: Meat","69,454"
1991,"Livestock and Products: Dairy","25,034"
1991,"Livestock and Products: Poultry and eggs","28,866"
1991,"All Crops","152,190"
1991,"Crops: Food Grains","12,193"
1991,"Crops: Feed Crops","55,718"
1991,"Crops: Oil Crops","22,085"
1991,"Crops: Vegetables and Melons","20,419"
1991,"Crops: Fruits and Tree Nuts","19,675"
1991,"Crops: Other","25,636"
1992,"Total Output","311,369"
1992,"All livestock and Products","127,293"
1992,"Livestock and Products: Meat","70,993"
1992,"Livestock and Products: Dairy","25,589"
1992,"Livestock and Products: Poultry and eggs","30,090"
1992,"All Crops","166,879"
1992,"Crops: Food Grains","14,958"
1992,"Crops: Feed Crops","64,678"
1992,"Crops: Oil Crops","23,421"
1992,"Crops: Vegetables and Melons","21,278"
1992,"Crops: Fruits and Tree Nuts","20,549"
1992,"Crops: Other","25,955"
1993,"Total Output","296,286"
1993,"All livestock and Products","128,450"
1993,"Livestock and Products: Meat","70,878"
1993,"Livestock and Products: Dairy","25,578"
1993,"Livestock and Products: Poultry and eggs","31,427"
1993,"All Crops","150,441"
1993,"Crops: Food Grains","14,297"
1993,"Crops: Feed Crops","49,929"
1993,"Crops: Oil Crops","20,119"
1993,"Crops: Vegetables and Melons","22,057"
1993,"Crops: Fruits and Tree Nuts","22,092"
1993,"Crops: Other","25,630"
1994,"Total Output","330,984"
1994,"All livestock and Products","135,466"
1994,"Livestock and Products: Meat","76,300"
1994,"Livestock and Products: Dairy","26,103"
1994,"Livestock and Products: Poultry and eggs","32,935"
1994,"All Crops","177,795"
1994,"Crops: Food Grains","14,413"
1994,"Crops: Feed Crops","65,853"
1994,"Crops: Oil Crops","27,014"
1994,"Crops: Vegetables and Melons","24,368"
1994,"Crops: Fruits and Tree Nuts","22,968"
1994,"Crops: Other","27,743"
1995,"Total Output","313,700"
1995,"All livestock and Products","138,047"
1995,"Livestock and Products: Meat","76,919"
1995,"Livestock and Products: Dairy","26,411"
1995,"Livestock and Products: Poultry and eggs","34,172"
1995,"All Crops","157,987"
1995,"Crops: Food Grains","13,395"
1995,"Crops: Feed Crops","53,966"
1995,"Crops: Oil Crops","23,356"
1995,"Crops: Vegetables and Melons","23,086"
1995,"Crops: Fruits and Tree Nuts","21,372"
1995,"Crops: Other","26,593"
1996,"Total Output","328,730"
1996,"All livestock and Products","137,461"
1996,"Livestock and Products: Meat","73,964"
1996,"Livestock and Products: Dairy","26,204"
1996,"Livestock and Products: Poultry and eggs","36,221"
1996,"All Crops","171,549"
1996,"Crops: Food Grains","13,862"
1996,"Crops: Feed Crops","63,113"
1996,"Crops: Oil Crops","25,236"
1996,"Crops: Vegetables and Melons","23,871"
1996,"Crops: Fruits and Tree Nuts","21,440"
1996,"Crops: Other","27,812"
1997,"Total Output","341,819"
1997,"All livestock and Products","140,193"
1997,"Livestock and Products: Meat","75,307"
1997,"Livestock and Products: Dairy","26,576"
1997,"Livestock and Products: Poultry and eggs","36,982"
1997,"All Crops","180,098"
1997,"Crops: Food Grains","15,025"
1997,"Crops: Feed Crops","62,971"
1997,"Crops: Oil Crops","28,131"
1997,"Crops: Vegetables and Melons","24,120"
1997,"Crops: Fruits and Tree Nuts","25,338"
1997,"Crops: Other","29,029"
1998,"Total Output","344,163"
1998,"All livestock and Products","141,140"
1998,"Livestock and Products: Meat","75,397"
1998,"Livestock and Products: Dairy","26,790"
1998,"Livestock and Products: Poultry and eggs","37,616"
1998,"All Crops","177,756"
1998,"Crops: Food Grains","15,392"
1998,"Crops: Feed Crops","64,330"
1998,"Crops: Oil Crops","29,060"
1998,"Crops: Vegetables and Melons","23,813"
1998,"Crops: Fruits and Tree Nuts","23,148"
1998,"Crops: Other","26,785"
1999,"Total Output","352,114"
1999,"All livestock and Products","144,677"
1999,"Livestock and Products: Meat","75,525"
1999,"Livestock and Products: Dairy","27,725"
1999,"Livestock and Products: Poultry and eggs","39,282"
1999,"All Crops","179,720"
1999,"Crops: Food Grains","14,467"
1999,"Crops: Feed Crops","64,194"
1999,"Crops: Oil Crops","28,050"
1999,"Crops: Vegetables and Melons","25,993"
1999,"Crops: Fruits and Tree Nuts","23,659"
1999,"Crops: Other","27,855"
2000,"Total Output","354,056"
2000,"All livestock and Products","144,832"
2000,"Livestock and Products: Meat","73,318"
2000,"Livestock and Products: Dairy","28,532"
2000,"Livestock and Products: Poultry and eggs","40,087"
2000,"All Crops","183,087"
2000,"Crops: Food Grains","13,904"
2000,"Crops: Feed Crops","65,132"
2000,"Crops: Oil Crops","28,809"
2000,"Crops: Vegetables and Melons","25,611"
2000,"Crops: Fruits and Tree Nuts","25,774"
2000,"Crops: Other","28,564"
2001,"Total Output","355,892"
2001,"All livestock and Products","145,829"
2001,"Livestock and Products: Meat","75,040"
2001,"Livestock and Products: Dairy","28,195"
2001,"Livestock and Products: Poultry and eggs","40,630"
2001,"All Crops","182,354"
2001,"Crops: Food Grains","12,810"
2001,"Crops: Feed Crops","63,887"
2001,"Crops: Oil Crops","30,624"
2001,"Crops: Vegetables and Melons","24,438"
2001,"Crops: Fruits and Tree Nuts","25,131"
2001,"Crops: Other","29,501"
2002,"Total Output","348,646"
2002,"All livestock and Products","147,008"
2002,"Livestock and Products: Meat","73,040"
2002,"Livestock and Products: Dairy","29,023"
2002,"Livestock and Products: Poultry and eggs","42,428"
2002,"All Crops","174,843"
2002,"Crops: Food Grains","10,989"
2002,"Crops: Feed Crops","60,281"
2002,"Crops: Oil Crops","28,684"
2002,"Crops: Vegetables and Melons","25,202"
2002,"Crops: Fruits and Tree Nuts","25,236"
2002,"Crops: Other","28,384"
2003,"Total Output","356,194"
2003,"All livestock and Products","149,700"
2003,"Livestock and Products: Meat","73,044"
2003,"Livestock and Products: Dairy","29,071"
2003,"Livestock and Products: Poultry and eggs","44,991"
2003,"All Crops","182,040"
2003,"Crops: Food Grains","14,638"
2003,"Crops: Feed Crops","66,119"
2003,"Crops: Oil Crops","26,194"
2003,"Crops: Vegetables and Melons","24,704"
2003,"Crops: Fruits and Tree Nuts","25,479"
2003,"Crops: Other","29,104"
2004,"Total Output","372,532"
2004,"All livestock and Products","147,272"
2004,"Livestock and Products: Meat","73,668"
2004,"Livestock and Products: Dairy","29,156"
2004,"Livestock and Products: Poultry and eggs","42,832"
2004,"All Crops","199,287"
2004,"Crops: Food Grains","14,129"
2004,"Crops: Feed Crops","72,890"
2004,"Crops: Oil Crops","32,494"
2004,"Crops: Vegetables and Melons","25,676"
2004,"Crops: Fruits and Tree Nuts","26,225"
2004,"Crops: Other","32,043"
